LineID,CulvertGroup,LineField,SortField,CXm,Cym,CZBateam,CZClavem,CZEjem,Lengthm,Diameterm,River,Reach,RS,Connection,Barrel,
148,AlcSecundDer,74,1,1078678.31,1572828.13,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A75,
149,AlcSecundDer,75,0,1078738.15,1572842.07,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A75,
150,AlcSecundDer,75,1,1078678.89,1572826.00,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A76,
151,AlcSecundDer,76,0,1078738.73,1572839.94,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A76,
152,AlcSecundDer,76,1,1078679.47,1572823.86,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A77,
153,AlcSecundDer,77,0,1078739.31,1572837.80,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A77,
154,AlcSecundDer,77,1,1078680.05,1572821.72,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A78,
155,AlcSecundDer,78,0,1078739.89,1572835.66,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A78,
156,AlcSecundDer,78,1,1078680.63,1572819.58,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A79,
157,AlcSecundDer,79,0,1078740.47,1572833.53,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A79,
158,AlcSecundDer,79,1,1078681.21,1572817.45,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A80,
159,AlcSecundDer,80,0,1078741.05,1572831.39,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A80,
160,AlcSecundDer,80,1,1078681.79,1572815.31,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A81,
161,AlcSecundDer,81,0,1078741.63,1572829.25,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A81,
162,AlcSecundDer,81,1,1078682.37,1572813.17,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A82,
163,AlcSecundDer,82,0,1078742.21,1572827.11,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A82,
164,AlcSecundDer,82,1,1078682.95,1572811.04,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A83,
165,AlcSecundDer,83,0,1078742.79,1572824.98,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A83,
166,AlcSecundDer,83,1,1078683.53,1572808.90,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A84,
167,AlcSecundDer,84,0,1078743.37,1572822.84,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A84,
168,AlcSecundDer,84,1,1078684.11,1572806.76,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A85,
169,AlcSecundDer,85,0,1078743.95,1572820.70,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A85,
170,AlcSecundDer,85,1,1078684.69,1572804.62,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A86,
171,AlcSecundDer,86,0,1078744.53,1572818.57,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A86,
172,AlcSecundDer,86,1,1078685.27,1572802.49,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A87,
173,AlcSecundDer,87,0,1078745.11,1572816.43,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A87,
174,AlcSecundDer,87,1,1078685.85,1572800.35,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A88,
175,AlcSecundDer,88,0,1078745.69,1572814.29,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A88,
176,AlcSecundDer,88,1,1078686.43,1572798.21,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A89,
177,AlcSecundDer,89,0,1078746.27,1572812.15,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A89,
178,AlcSecundDer,89,1,1078687.01,1572796.08,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A90,
179,AlcSecundDer,90,0,1078746.85,1572810.02,70.59,71.50,71.05,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A90,
180,AlcSecundDer,90,1,1078687.59,1572793.94,70.04,70.95,70.50,61.40,0.91,ARROYOELZORRO,ARRIBALAT1,7848.612,,A91,
